Header - skip 2 lines,,,,,,,,MartinsD,,,,,,,
LV_frame_name,EN_frame_name,,Frame_type,LV_role_name,EN_role_name,Class_restriction,Type,Format,Core,All,,Relation,Related_frame,Excluded_roles,Comment
Tiesvedība,Trial,uLU,N,kriminālprocess,,,,,,,,,,,
Tiesvedība,Trial,uLU,N,prasība,,,,,,,,,,,
Tiesvedība,Trial,uLU,V,iesūdzēt,,,,,,,,,,,
Tiesvedība,Trial,uLU,V,apsūdzēt,,,,,,,,,,,
Uzbrukums,Attack,aFR,,,,,,,2,10,,,,,
Uzbrukums,Attack,mFE,Core,Cietušais,Victim,PersonOrOrganization,OntologicalType,EID,,,,,,,
Uzbrukums,Attack,mFE,Core,Uzbrucējs,Assailant,PersonOrOrganization,OntologicalType,EID,,,,,,,
Uzbrukums,Attack,mFE,Extra-Thematic,Sekas,Result,,,str v EID,,,,,,,"Piemēram, nāves vai tiesvedības freims"
Uzbrukums,Attack,mFE,Extra-Thematic,Apstākļi,Circumstances,,,str v EID,,,,,,,
Uzbrukums,Attack,mFE,Extra-Thematic,Notikuma_apraksts,Depictive,,,str v EID,,,,,,,
Uzbrukums,Attack,mFE,Extra-Thematic,Iemesls,Reason,,,str v EID,,,,,,,
Uzbrukums,Attack,mFE,Peripheral,Ierocis,Weapon,Physical_entity,OntologicalType,str v EID,,,,,,,
Uzbrukums,Attack,mFE,Peripheral,Veids,Manner,,,str v EID,,,,,,,
Uzbrukums,Attack,mFE,Peripheral,Vieta,Place,Location,OntologicalType,str v EID,,,,,,,
Uzbrukums,Attack,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Uzbrukums,Attack,uLU,N,uzbrukums,,,,,,,,,,,
Uzbrukums,Attack,uLU,N,slepkavība,,,,,,,,,,,
Uzbrukums,Attack,uLU,N,piekaut,,,,,,,,,,,
Uzbrukums,Attack,uLU,N,sašaut,,,,,,,,,,,
Uzbrukums,Attack,uLU,N,nošaut,,,,,,,,,,,
Uzbrukums,Attack,uLU,N,uzbrukt,,,,,,,,,,,
Uzbrukums,Attack,uLU,N,nogalināt,,,,,,,,,,,
Sasniegums,Win_prize,aFR,,,,,,,2,9,,,,,Atkal FN  ir šaurāk
Sasniegums,Win_prize,mFE,Core,Dalībnieks,Competitor,PersonOrOrganization,OntologicalType,EID,,,,,,,
Sasniegums,Win_prize,mFE,Core,Sasniegums,Prize,,,str v EID,,,,,,,Balva vai vieta sancensībās; rangs novērtējumā
Sasniegums,Win_prize,mFE,Extra-Thematic,Sacensības,Competition,Event,OntologicalType,str v EID,,,,,,,Piedalīšanās pasākumā izriet no šī
Sasniegums,Win_prize,mFE,Peripheral,Rezultāts,Result,,,str v EID,,,,,,,
Sasniegums,Win_prize,mFE,Peripheral,Rangs,Rank,,,str v EID,,,,,,,1. vieta vai bronzas medaļa ..
Sasniegums,Win_prize,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Sasniegums,Win_prize,mFE,Peripheral,Vieta,Place,Location,OntologicalType,str v EID,,,,,,,
Sasniegums,Win_prize,mFE,Peripheral,Organizētājs,Organizer,PersonOrOrganization,OntologicalType,EID,,,,,,,Nav FN
Sasniegums,Win_prize,mFE,Peripheral,Pretinieks,Opponent,PersonOrOrganization,OntologicalType,EID,,,,,,,
Sasniegums,Win_prize,uLU,N,uzvarētājs,,,,,,,,,,,
Sasniegums,Win_prize,uLU,N,vieta,,,,,,,,,,,
Sasniegums,Win_prize,uLU,N,medaļa,,,,,,,,,,,
Sasniegums,Win_prize,uLU,V,uzvarēt,,,,,,,,,,,
Sasniegums,Win_prize,uLU,V,apbalvot,,,,,,,,,,,
Ziņošana,Statement,aFR,,,,,,,3,5,,,,,
Ziņošana,Statement,mFE,Core,Avots,Medium,PersonOrOrganization,OntologicalType,EID,,,,,,,
Ziņošana,Statement,mFE,Core,Autors,Speaker,Person,OntologicalType,EID,,,,,,,"ja ir norādīta persona organizācijā, kas rakstīja ziņu"
Ziņošana,Statement,mFE,Extra-Thematic,Ziņa,Message,,,str v EID,,,,,,,tipiski cits freims
Ziņošana,Statement,mFE,Peripheral,Laiks,Time,Time,OntologicalType,4y2m2d v EID,,,,,,,
Ziņošana,Statement,uLU,V,ziņot,,,,,,,,,,,
Ziņošana,Statement,uLU,V,publicēt,,,,,,,,,,,
Ziņošana,Statement,uLU,V,rakstīt,,,,,,,,,,,
Ziņošana,Statement,uLU,V,vēstīt,,,,,,,,,,,
